id;geocod_ibge;rds;nome;vuln;sensib;s_luc_2017;sl_agrotox;sl_agr_fam;sl_prat_sust;sl_fogo;s_csol_2017;sc_passivo;sc_desmat;sc_pastag;sc_miner;s_dens_pop_faz;sd_popul;sd_fazend;s_infra_2017;si_rodov;si_hidro;s_cap;sc_orient;sc_ucons;expos;e_cobexpo;e_cobnat;e_areaprot;e_priocons;ameaca_atual;ameaca_  SWL1.5;ameaca_SWL2.0;risco_atual;risco_SWL1.5;risco_SWL2.0
4277;2606903;PAJ;Iguaracy;0,61;0,29;0,15;0,08;0,15;0,72;0,15;0,23;0,09;0,36;0,88;0;0,35;0,12;0,58;0,47;0,3;0,64;0,08;0,08;;0,42;0,28;0,28;1;0,09;0,01;0,11;0,24;0;0,38;0,52
4284;2607604;MET;Ilha de Itamaracá;0,36;0,34;0,29;0;0,59;0,77;0,01;0,09;0,1;0,34;0,98;0;0,93;0,17;0,62;0,58;0,29;0,87;0,03;0,06;0;0,42;0,37;0,53;0;0,37;;;;;;
4278;2607000;MOX;Inajá;0,68;0,35;0,3;0,31;0,29;0,92;0,13;0,22;0,03;0,48;0,91;0;0,39;0,15;0,62;0,43;0,25;0,61;0,2;0,2;;0,46;0,36;0,36;1;0;0,03;0,25;0,24;0,15;0,58;0,57
4279;2607109;PAJ;Ingazeira;0,56;0,32;0,13;0,09;0,14;0,75;0,13;0,26;0,72;0,08;0,6;1;0,39;1;0,57;0,47;0,6;0,34;0,07;0,1;0,04;0,46;0,79;0,79;0;0,94;0,01;0,17;0,24;0;0,46;0,52
4280;2607208;MET;Ipojuca;0,78;0,57;0,13;0,12;0,08;0,92;0,89;0,66;0,01;0,31;0,92;0;0,78;0,37;0,71;0,6;0,67;0,54;0,02;0,02;;0,69;0,37;0,37;1;0,1;0,21;0,02;0,25;0,65;0,21;0,68
4281;2607307;ARP;Ipubi;0,82;0,57;0,61;0,34;0,13;0,99;0;0,16;0,14;1;0,99;0;0,54;0,09;0,43;0,66;0,44;0,87;0,2;0,2;;0,46;0,95;0,95;1;0,23;0,01;0,24;0,14;0,03;0,6;0,5
4282;2607406;IPA;Itacuruba;0,62;0,41;0,07;0,04;0,09;0,78;0,07;0,56;0,26;0,24;0,91;0;0,26;0,2;0,67;0,58;0,34;0,82;0,03;0,03;;0,78;0,06;0,82;0;0,06;0,02;0,24;0,25;0,11;0,66;0,66
4283;2607505;AGM;Itaíba;0,68;0,34;0,21;0,19;0,23;0,99;0;0,25;0;0,19;0,66;0;0,44;1;0,86;0,39;0,55;0,23;0,56;0,12;1;0,3;0,28;0,55;0,28;0;0,21;0,11;0,17;0,45;0,33;0,41
4285;2607653;MNS;Itambé;0,8;0,57;0,36;0,17;0,56;0,6;0,1;0,78;0,89;0,03;0,66;1;0,78;0,97;0,58;0,3;0,37;0,23;0,04;0,04;;0,8;1;0,94;1;1;0,73;0,14;0,18;0,94;0,6;0,65
4286;2607703;PAJ;Itapetim;0,47;0,24;0,07;0,07;0,07;0,94;0,07;0,09;0,02;0,16;0,89;0;0,46;0,27;0,66;0,38;0,24;0,52;0,26;0,26;;0,42;0,29;0,29;1;0;0,02;0,24;0,24;0;0,47;0,47
4287;2607752;MET;Itapissuma;0,3;0,19;0,05;0;0,08;1;0,01;0,06;0,08;0,04;0,71;0;1;1;1;0,33;0,43;0,23;0,51;0,02;1;0,51;0,46;0,79;0,46;0,01;0,35;0,04;0,25;0,5;0,04;0,43
4288;2607802;MNS;Itaquitinga;0,64;0,28;0,35;0,02;0,66;0,95;0,03;0,14;0,22;0,07;0,67;0;0,81;0,85;0,78;0,22;0,18;0,25;0,02;0,02;;0,8;1;0,82;1;1;0,73;0,16;0,25;0,89;0,59;0,67
4289;2607901;MET;Jaboatão dos Guararapes;0,7;0,4;0,22;0,02;0,39;0,72;0,05;0,4;0,16;0,23;0,56;1;0,91;1;0,82;0,4;0,49;0,3;0,04;0,04;;0,68;0,78;0,78;0;0,78;0,27;0,02;0,25;0,67;0,19;0,66
4290;2607950;MLS;Jaqueira;0,68;0,39;0,07;0,03;0,07;1;0,07;0,1;0,11;0,1;0,48;0;0,92;1;0,84;0,68;0,85;0,52;0,08;0,08;;0,8;1;0,84;1;1;0,41;0,22;0,02;0,79;0,66;0,13
4291;2608008;AGC;Jataúba;0,65;0,28;0,16;0;0,28;0,85;0,03;0,15;0,05;0,26;0,95;0;0,39;0,2;0,59;0,44;0,33;0,54;0,01;0,01;;0,72;0,85;0,34;1;0,85;0,06;0,33;0,26;0,38;0,71;0,67
4292;2608057;IPA;Jatobá;0,74;0,49;0,28;0,01;0,54;0,82;0;0,43;0,03;0,84;0,95;0;0,55;0,43;0,67;0,71;0,44;0,98;0,06;0,06;;0,43;0,31;0,85;0;0,31;0,3;0,3;0,25;0,62;0,62;0,58
4293;2608107;AGS;João Alfredo;0,61;0,22;0,23;0,12;0,33;0,85;0,05;0,03;0,01;0,05;0,6;0;0,97;1;0,94;0,22;0,08;0,36;0,03;0,03;;0,67;0,75;0,75;1;0;0,21;0,14;0,02;0,59;0,5;0,15
4294;2608206;MLS;Joaquim Nabuco;0,62;0,35;0,12;0,03;0,21;0,55;0,02;0,15;0,28;0,01;0,48;0;0,88;1;0,76;0,56;0,68;0,44;0,13;0,13;;0,75;0,9;0,9;1;0,01;0,48;0,24;0,23;0,79;0,64;0,64
